DSGS helveticus,SRF title,SRF link,DSGS signer,LSF helveticus,RTS title,RTS link,LSF signer,LIS helveticus,RSI title,RSI link,LIS signer
2022-01-12_jean_tinguely_in,"Jean Tinguely in Gebärdensprache (Staffel 1, Folge 25)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/jean-tinguely-in-gebaerdensprache--staffel-1-folge-25?urn=urn:srf:video:cd91723d-ba17-4a37-8cd0-d6c8bb22e2a9,Andreas Blaser,2020-03-09_saison_1_(25_26),1977 : Jean Tinguely,https://www.rts.ch/play/tv/helveticus-signe/video/saison-1-2526-1977--jean-tinguely-episode-2526-saison-1?urn=urn:rts:video:11151640,Steve Mateus,2021-12-27_serie_1_(25_26),Serie 1 (25/26) 1977 Jean Tinguely,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-1-2526-1977-jean-tinguely?urn=urn:rsi:video:14923140,Paola Massa
2022-01-12_bertrand_piccard_in,Bertrand Piccard in Gebärdensprache,https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/bertrand-piccard-in-gebaerdensprache-?urn=urn:srf:video:802a7812-9bdd-4b48-82e6-60051366594f,Andreas Blaser,2020-03-09_saison_1_(26_26),1999 : Bertrand Piccard et le tour de monde en ballon,https://www.rts.ch/play/tv/helveticus-signe/video/saison-1-2626-1999--bertrand-piccard-et-le-tour-du-monde-en-ballon-episode-2626-saison-1?urn=urn:rts:video:11159615,Katia Pahud,2021-12-27_serie_1_(26_26),Serie 1 (26/26) 1999 Bertrand Piccard e il giro del mondo in mongolfiera,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-1-2626-1999-bertrand-piccard-e-il-giro-del-mondo-in-mongolfiera?urn=urn:rsi:video:14923188,Paola Massa
2022-02-02_jean-jacques_rousseau_in,"Jean-Jacques Rousseau in Gebärdensprache (Staffel 2, Folge 7)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/jean-jacques-rousseau-in-gebaerdensprache--staffel-2-folge-7?urn=urn:srf:video:72b425e2-88e9-4f32-b559-12a8d95380fc,Andreas Blaser,2021-10-28_saison_2_(1_26),1728 Jean-Jacques Rousseau,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-126-1728-jean-jacques-rousseau?urn=urn:rts:video:12614748,Katia Pahud,2022-01-03_serie_2_(1_26),Serie 2 (1/26) 1728 Jean-Jacques Rousseau,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-126-1728-jean-jacques-rousseau?urn=urn:rsi:video:14940897,Paola Massa
2022-02-02_le_corbusier_in,"Le Corbusier in Gebärdensprache (Staffel 2, Folge 18)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/le-corbusier-in-gebaerdensprache--staffel-2-folge-18?urn=urn:srf:video:193acc85-497f-4e72-99d5-95b0d00fd5b4,Andreas Blaser,2021-10-28_saison_2_(2_26),1917 Le Corbusier,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-226-1917-le-corbusier?urn=urn:rts:video:12600618,Steve Mateus,2022-01-03_serie_2_(2_26),Serie 2 (2/26) 1917 Le Corbusier,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-226-1917-le-corbusier-?urn=urn:rsi:video:14940744,Paola Massa
2022-02-02_victor_frankenstein_in,"Victor Frankenstein in Gebärdensprache (Staffel 2, Folge 9)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/victor-frankenstein-in-gebaerdensprache-staffel-2-folge-9?urn=urn:srf:video:f004b3dd-6e7b-42f9-abab-279aee01f81b,Andreas Blaser,2021-10-28_saison_2_(3_26),1816 Victor Frankenstein,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-326-1816-victor-frankenstein?urn=urn:rts:video:12600635,Katia Pahud,2022-01-03_serie_2_(3_26),Serie 2 (3/26) 1816 Victor Frankenstein e Mary Shelley,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-326-1816-victor-frankenstein-e-mary-shelley?urn=urn:rsi:video:14940759,Paola Massa
2022-02-02_die_ringkuhkämpfe_in,"Die Ringkuhkämpfe in Gebärdensprache (Staffel 2, Folge 20)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/die-ringkuhkaempfe-in-gebaerdensprache--staffel-2-folge-20?urn=urn:srf:video:c65940a2-bf67-4cf8-8b4d-caec09425a1d,Andreas Blaser,2021-10-28_saison_2_(4_26),1922 Les combats de reines,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-426-1922-les-combats-de-reines?urn=urn:rts:video:12600609,Steve Mateus,2022-01-03_serie_2_(4_26),Serie 2 (4/26) Le battaglie delle regine,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-426-1922-le-battaglie-delle-regine?urn=urn:rsi:video:14940753,Paola Massa
2022-02-02_gottlieb_duttweiler_und,"Gottlieb Duttweiler und die Migros in Gebärdensprache (Staffel 2, Folge 21)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/gottlieb-duttweiler-und-die-migros-in-gebaerdensprache--staffel-2-folge-21?urn=urn:srf:video:23b2d2f6-16a7-4f0a-a430-c07989f2c2da,Andreas Blaser,2021-11-10_saison_2_(5_26),1925 Gottlieb Duttweiler et la Migros,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-526-1925-gottlieb-duttweiler-et-la-migros?urn=urn:rts:video:12631366,Steve Mateus,2022-01-03_serie_2_(5_26),Serie 2 (5/26) 1925 Gottlieb Duttweiler e la Migros,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-526-1925-gottlieb-duttweiler-e-la-migros?urn=urn:rsi:video:14940777,Paola Massa
2022-02-02_georges_de_mestral,"Georges de Mestral und der Klettverschluss in Gebärdensprache (Staffel 2, Folge 24)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/georges-de-mestral-und-der-klettverschluss-in-gebaerdensprache--staffel-2-folge-24?urn=urn:srf:video:03095f6e-2b27-4ee8-89ae-fe7cbaa5aa55,Andreas Blaser,2021-11-10_saison_2_(6_26),1941 Le Velcro,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-626-1941-le-velcro?urn=urn:rts:video:12631375,Steve Mateus,2022-01-03_serie_2_(6_26),Serie 2 (6/26) 1941 Georges De Mestral e il velcro,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-626-1941-georges-de-mestral-e-il-velcro?urn=urn:rsi:video:14940909,Paola Massa
2022-02-02_der_schweizerische_nationalpark,"Der Schweizerische Nationalpark in Gebärdensprache (Staffel 2, Folge 16)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/der-schweizerische-nationalpark-in-gebaerdensprache--staffel-2-folge-16?urn=urn:srf:video:6b1e134f-594d-4353-9ca9-52eee1bd9a65,Andreas Blaser,2022-03-08_saison_2_(7_26),1914 Le parc National Suisse,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-726-1914-le-parc-national-suisse?urn=urn:rts:video:12922744,Farhia Ahmed,2022-01-03_serie_2_(7_26),Serie 2 (7/26) Il Parco Nazionale Svizzero,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-726-il-parco-nazionale-svizzero?urn=urn:rsi:video:14940714,Paola Massa
2022-02-02_sophie_taeuber-arp_in,"Sophie Taeuber-Arp in Gebärdensprache (Staffel 2, Folge 17)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/sophie-taeuber-arp-in-gebaerdensprache--staffel-2-folge-17?urn=urn:srf:video:e89ed2c1-6dda-4125-b593-6398a075f5e7,Andreas Blaser,2021-11-17_saison_2_(8_26),1915 Sophie Taeber-Arp,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-826-1915-sophie-taeber-arp?urn=urn:rts:video:12649232,Steve Mateus,2022-01-03_serie_2_(8_26),Serie 2 (8/26) 1915 Sophie Taeuber-Arp,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-826-1915-sophie-taeuber-arp?urn=urn:rsi:video:14940726,Paola Massa
2022-02-02_sonderbundskrieg_in_gebärdensprache,"Sonderbundskrieg in Gebärdensprache (Staffel 2, Folge 10)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/sonderbundskrieg-in-gebaerdensprache--staffel-2-folge-10?urn=urn:srf:video:3a87a342-16b6-4c97-b660-0851cd9a250a,Andreas Blaser,2022-03-08_saison_2_(9_26),1847 La guerre du Sonderbound,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-926-1847-la-guerre-du-sonderbound?urn=urn:rts:video:12922753,Steve Mateus,2022-01-03_serie_2_(9_26),Serie 2 (9/26) 1847 La Guerra del Sonderbund,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-926-1847-la-guerra-del-sonderbund?urn=urn:rsi:video:14945787,Paola Massa
2022-02-02_paracelsus_in_gebärdensprache,"Paracelsus in Gebärdensprache (Staffel 2, Folge 5)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/paracelsus-in-gebaerdensprache--staffel-2-folge-5?urn=urn:srf:video:f4b65254-6325-4065-805a-8ffbfbfd38c9,Andreas Blaser,2022-03-08_saison_2_(10_26),1527 Paracelse,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-1026-1527-paracelse?urn=urn:rts:video:12922891,Steve Mateus,2022-01-03_serie_2_(10_26),Serie 2 (10/26) 1527 Paracelso,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-1026-1527-paracelso?urn=urn:rsi:video:14945781,Paola Massa
2022-02-02_angelika_kauffmann_in,"Angelika Kauffmann in Gebärdensprache (Staffel 2, Folge 8)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/angelika-kauffmann-in-gebaerdensprache--staffel-2-folge-8?urn=urn:srf:video:d4d43cd5-2e26-4f15-9c75-06e00d88c999,Andreas Blaser,2022-03-30_saison_2_(11_26),1750 Angelika Kauffmann,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-1126-1750-angelika-kauffmann?urn=urn:rts:video:12981650,Farhia Ahmed,2022-01-03_serie_2_(11_26),Serie 2 (11/26) 1750 Angelica Kauffmann,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-1126-1750-angelica-kauffmann?urn=urn:rsi:video:14945799,Paola Massa
2022-02-02_arnold_böcklin_und,"Arnold Böcklin und Ferdinand Hodler in Gebärdensprache (Staffel 2, Folge 12)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/arnold-boecklin-und-ferdinand-hodler-in-gebaerdensprache--staffel-2-folge-12?urn=urn:srf:video:dcb5baf8-cf4c-4f9b-85d0-011c0f0a4d3e,Andreas Blaser,,Saison 2 (12?/26) 1880 Arnold Bröcklin et Ferdinand Hodler,,,2022-01-03_serie_2_(12_26),Serie 2 (12/26) 1880 Arnold Bröcklin e Ferdinand Hodler,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-1226-1880-arnold-boecklin-e-ferdinand-hodler?urn=urn:rsi:video:14945811,Paola Massa
2022-02-02_roger_federer_in,"Roger Federer in Gebärdensprache (Staffel 2, Folge 26)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/roger-federer-in-gebaerdensprache-staffel-2-folge-26?urn=urn:srf:video:c7845020-f32c-43a7-aa67-fe7ff326deee,Andreas Blaser,2022-03-23_saison_2_(13_26),2014 Roger Federer,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-1326-2014-roger-federer?urn=urn:rts:video:12963874,Steve Mateus,2022-01-03_serie_2_(13_26),Serie 2 (13/26) 2014 Roger Federer,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-1326-2014-roger-federer?urn=urn:rsi:video:14945838,Paola Massa
2022-02-02_anne-marie_schwarzenbach_und,"Anne-Marie Schwarzenbach und Ella Maillart in Gebärdensprache (Staffel 2, Folge 23)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/anne-marie-schwarzenbach-und-ella-maillart-in-gebaerdensprache-staffel-2-folge-23?urn=urn:srf:video:cc740ba2-a5ea-439e-be92-aa901400be13,Andreas Blaser,2022-05-17_saison_2_(14_26),1939 Anne-Marie Schwarzenbach et Ella Maillart,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-1426-1939-anne-marie-schwarzenbach-et-ella-maillart?urn=urn:rts:video:13102661,Steve Mateus,2022-01-03_serie_2_(25_26),Serie 2 (25/26) 1939 Annemarie Scharzenbach e Ella Maillart,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-2526-1939-annemarie-schwarzenbach-e-ella-maillart?urn=urn:rsi:video:14948361,Paola Massa
2022-02-02_vincenzo_vela_in,"Vicenzo Vela in Gebärdensprache (Staffel 2, Folge 11)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/vincenzo-vela-in-gebaerdensprache--staffel-2-folge-11?urn=urn:srf:video:e2ae830b-0a65-426d-9509-d67a293c646c,Andreas Blaser,2022-03-30_saison_2_(15_26),1848 Vincenzo Vela,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-1526-1848-vincenzo-vela?urn=urn:rts:video:12981687,Steve Mateus,2022-01-03_serie_2_(19_26),Serie 2 (19/26) 1848 Vincenzo Vela,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-1926-1848-vincenzo-vela?urn=urn:rsi:video:14948316,Paola Massa
2022-02-02_der_pilatus_in,"Der Pilatus in Gebärdensprache (Staffel 2, Folge 13)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/der-pilatus-in-gebaerdensprache-staffel-2-folge-13?urn=urn:srf:video:3fe61b52-a2e3-4640-8298-d55f436c1a28,Andreas Blaser,2022-04-26_saison_2_(16_26),1889 Le Mont-Pilatus,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-1626-1889-le-mont-pilatus?urn=urn:rts:video:13047469,Steve Mateus,2022-01-03_serie_2_(20_26),Serie 2 (20/26) Il Monte Pilatus,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-2026-il-monte-pilatus?urn=urn:rsi:video:14948337,Paola Massa
2022-02-02_die_rettung_von,"Die Rettung von Avenches in Gebärdensprache (Staffel 2, Folge 2)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/die-rettung-von-avenches-in-gebaerdensprache--staffel-2-folge-2?urn=urn:srf:video:18443da8-d485-40cd-ba0f-e2224b7d83d7,Andreas Blaser,2022-04-26_saison_2_(17_26),-69 Le sauvetage d'Avenches,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-1726----69-le-sauvetage-davenches?urn=urn:rts:video:13047447,Farhia Ahmed,2022-01-03_serie_2_(15_26),Serie 2 (15/26) -69 Il salvataggio di Aventicum,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-1526--69-il-salvataggio-di-aventicum?urn=urn:rsi:video:14945832,Paola Massa
2022-02-02_der_monte_san,"Der Monte San Giorgio in Gebärdensprache (Staffel 2, Folge 1)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/der-monte-san-giorgio-in-gebaerdensprache--staffel-2-folge-1?urn=urn:srf:video:19946e91-c815-41b1-9ae6-5eace7ad4e93,Andreas Blaser,2022-06-14_saison_2_(18_26),-250 Mio. Le Monte San Giorgio,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-1826---250-mio--le-monte-san-giorgio?urn=urn:rts:video:13172395,Farhia Ahmed,2022-01-03_serie_2_(14_26),Serie 2 (14/26) -250MIO Il Monte San Giorgio,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-1426--250mio-il-monte-san-giorgio?urn=urn:rsi:video:14945817,Paola Massa
2022-02-02_berta_von_alamannien,"Berta von Alamannien in Gebärdensprache (Staffel 2, Folge 3)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/berta-von-alamannien-in-gebaerdensprache--staffel-2-folge-3?urn=urn:srf:video:ed9243d2-6cb7-4ade-a25a-53370a861ec2,Andreas Blaser,2022-05-17_saison_2_(19_26),950 Berthe de Souabe,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-1926-950-berthe-de-souabe?urn=urn:rts:video:13102671,Steve Mateus,2022-01-03_serie_2_(16_26),Serie 2 (16/26) 950 Berta di Svevia,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-1626-950-berta-di-svevia?urn=urn:rsi:video:14945853,Paola Massa
2022-02-02_die_schweizer_banken,"Die Schweizer Banken in Gebärdensprache (Staffel 2, Folge 4)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/die-schweizer-banken-in-gebaerdensprache--staffel-2-folge-4?urn=urn:srf:video:69a69f1c-7313-4c68-a174-4747e177ee4a,Andreas Blaser,2023-06-30_saison_2_(20_26),Saison 2 (20/26) - 1151 Les Banques,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-2026-1151-les-banques?urn=urn:rts:video:14143008,Farhia Ahmed,2022-01-03_serie_2_(17_26),Serie 2 (17/26) 1151 Le banche,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-1726-1151-le-banche?urn=urn:rsi:video:14948307,Paola Massa
2022-02-02_die_zweite_schlacht,"Die zweite Schlacht von Villmergen in Gebärdensprache (Staffel 2, Folge 6)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/die-zweite-schlacht-von-villmergen-in-gebaerdensprache-staffel-2-folge-6?urn=urn:srf:video:bf4c244e-dba9-4540-8fb7-a117bec244ea,Andreas Blaser,,Saison 2 (21?/26) La bataille de Villmergen,,,2022-01-03_serie_2_(18_26),Serie 2 (18/26) 1712 La battaglia di Villmergen,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-1826-1712-la-battaglia-di-villmergen?urn=urn:rsi:video:14948301,Paola Massa
2022-02-02_carl_gustav_jung,"Carl Gustav Jung in Gebärdensprache (Staffel 2, Folge 14)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/carl-gustav-jung-in-gebaerdensprache--staffel-2-folge-14?urn=urn:srf:video:99107b1d-a210-414a-8b84-5acbcf226f87,Andreas Blaser,2023-06-30_saison_2_(22_26),Saison 2 (22/26) - 1900 Carl Gustav Jung,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-2226-1900-carl-gustav-jung?urn=urn:rts:video:14142997,Steve Mateus,2022-01-03_serie_2_(21_26),Serie 2 (21/26) 1900 Carl Gustav Jung,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-2126-1900-carl-gustav-jung?urn=urn:rsi:video:14948322,Paola Massa
2022-02-02_arthur_honegger_in,"Arthur Honegger in Gebärdensprache (Staffel 2, Folge 15)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/arthur-honegger-in-gebaerdensprache--staffel-2-folge-15?urn=urn:srf:video:3434b9ba-23f1-4108-bf49-a5aa142c973c,Andreas Blaser,2022-06-14_saison_2_(23_26),1910 Arthur Honegger,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-2326-1910-arthur-honegger?urn=urn:rts:video:13172406,Farhia Ahmed,2022-01-03_serie_2_(22_26),Serie 2 (22/26) 1910 Arthur Honegger,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-2226-1910-arthur-honegger?urn=urn:rsi:video:14948343,Paola Massa
2022-02-02_jean_piaget_in,"Jean Piaget in Gebärdensprache (Staffel 2, Folge 19)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/jean-piaget-in-gebaerdensprache--staffel-2-folge-19?urn=urn:srf:video:573ddb3d-c108-45a3-85ec-317530e081dd,Andreas Blaser,2022-06-17_saison_2_(24_26),Saison 2 (24/26) – 1896 Jean Piaget,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-2426-1896-jean-piaget?urn=urn:rts:video:13181132,Steve Mateus,2022-01-03_serie_2_(23_26),Serie 2 (23/26) 1896 Jean Piaget,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-2326-1896-jean-piaget?urn=urn:rsi:video:14948328,Paola Massa
2022-02-02_ramuz_und_farinet,"Ramuz und Farinet in Gebärdensprache (Staffel 2, Folge 22)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/ramuz-und-farinet-in-gebaerdensprache--staffel-2-folge-22?urn=urn:srf:video:1740904d-0f28-4f23-ba07-350658b9cf51,Andreas Blaser,2022-06-17_saison_2_(25_26),1932 Ramuz et Farinet,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-2526-1932-ramuz-et-farinet?urn=urn:rts:video:13181141,Steve Mateus,2022-01-03_serie_2_(24_26),Serie 2 (24/26) 1932 Ramuz e Farinet,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-2426-1932-ramuz-e-farinet?urn=urn:rsi:video:14948349,Paola Massa
2022-02-02_die_grande_dixence,"Die Grande Dixence in Gebärdensprache (Staffel 2, Folge 25)",https://www.srf.ch/play/tv/helveticus-in-gebaerdensprache/video/die-grande-dixence-in-gebaerdensprache--staffel-2-folge-25?urn=urn:srf:video:380dab1f-a57f-4f41-ab13-e1ae1d8cf447,Andreas Blaser,2022-06-17_saison_2_(26_26),1950 La grande Dixence,https://www.rts.ch/play/tv/helveticus-signe/video/saison-2-2626-1950-la-grande-dixence?urn=urn:rts:video:13181156,Farhia Ahmed,2022-01-03_serie_2_(26_26),Serie 2 (26/26) 1950 La Grande Dixence,https://www.rsi.ch/play/tv/helveticus-lis-/video/serie-2-2626-1950-la-grande-dixence?urn=urn:rsi:video:14948355,Paola Massa