DSGS mitenand,DSGS mitenand manual,DSGS signer,SRF link,SRF title,LSF ensemble manual,LSF ensemble,LSF signer,RTS link,LSF SWISS TXT video file,RTS title,LIS insieme manual,LIS insieme,RSI link,RSI title,LIS signer
2022-12-01_einsatz_für_die,2022-12-01_einsatz_für_die,Rolf Perrollaz,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/einsatz-fuer-die-natur?urn=urn:srf:video:6010b880-0e8d-48d5-aa25-333564ae2fa3,Einsatz für die Natur,2023-02-19_2309_wwf,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/wwf-des-alpages-suisses-riches-en-biodiversite?urn=urn:rts:video:14528952,2023-02-19_2309_wwf.mxf,WWF - Des alpages suisses riches en biodiversité,2023-02-18_wwf_-_lis,2023-02-18_wwf_-_lis,https://www.rsi.ch/play/tv/insieme-lis/video/wwf-lis?urn=urn:rsi:video:15966055,WWF - LIS,Paola Massa
2022-12-08_anlaufstelle_für_jugendliche,2022-12-08_anlaufstelle_für_jugendliche,Barbara Rossier,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/anlaufstelle-fuer-jugendliche-mit-problemen?urn=urn:srf:video:4152a6f3-ad3b-494a-9b39-aa131a2422de,Anlaufstelle für Jugendliche mit Problemen,,,,,,,,,,,
,,,,,,,,,,,2022-01-01_catena_della_solidarietà,2022-01-01_catena_della_solidarietà,,Catena della Solidarietà - Medici del Mondo - LIS,Giancarla Calitri
,,,,,,,,,,,2022-01-08_caritas_-_volontariato,2022-01-08_caritas_-_volontariato,,Caritas - Volontariato dai contadini di montagna - LIS,Giancarla Calitri
2022-09-01_kenia_–_schulbesuch,2022-09-01_kenia_–_schulbesuch,Barbara Rossier,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/kenia---schulbesuch-dank-mini-teleskop?urn=urn:srf:video:1f7c71f2-13de-4f4d-acde-577c5291ccae,Kenia – Schulbesuch dank mini-Teleskop,,,,,,,,2022-01-15_kenya_cbm_-,,Kenya CBM - Missione cristiana per i cechi nel mondo - LIS,Giancarla Calitri
,,,,,2022-05-01_2219_fondation_san_gottardo,2022-05-01_2219_fondation_san_gottardo,Marie Castella,https://www.rts.ch/play/tv/ensemble-signe/video/san-gottardo-le-futur-se-trouve-dans-les-racines?urn=urn:rts:video:14528323,2022-05-01_2219_fondation_san_gottardo.mxf,SAN GOTTARDO - Le futur se trouve dans les racines,2022-01-22_fondazione_san_gottardo,2022-01-22_fondazione_san_gottardo,,"Fondazione San Gottardo - Nelle radici, il futuro - LIS",Giancarla Calitri
,,,,,2022-05-03_après_l’incendie_meurtrier,2022-05-03_après_l’incendie_meurtrier,Adrien Pelletier,,2021_10_03_2148_Flavie,Association Flavie – au secours des grands brules,2022-01-29_flavie_-_associazione,2022-01-29_flavie_-_associazione,,FLAVIE - Associazione per le vittime di ustioni - LIS,Giancarla Calitri
,,,,,2022-02-13_2208_Theodora,,Adrien Pelletier,,2022-02-13_2208_Theodora.mxf,ENSEMBLE2208 - Theodora avec LSF-2022-02-13,"2022-02-05_fondazione_theodora,_contribuire","2022-02-05_fondazione_theodora,_contribuire",,"Fondazione Theodora, contribuire alla guarigione con il buon umore - LIS",Giancarla Calitri
,,,,,,,,,,,2022-02-19_associazione_dei_piccoli,2022-02-19_associazione_dei_piccoli,,Associazione dei piccoli contadini - LIS,Angela Lunelio
,,,,,,,,,,,2022-03-05_lega_svizzera_contro,2022-03-05_lega_svizzera_contro,,Lega Svizzera contro l’Epilessia - LIS,Angela Lunelio
,,,,,2022-05-06_l’art_d’inclure_propose,2022-05-06_l’art_d’inclure_propose,Adrien Pelletier,,2021_11_28_2158_L_art_d_inclure.mov,L’art d’inclure – Des malvoyants decouvrent le Baiser de Rodin,,2022-04-02_associazione_l'arte_di,,Associazione L'arte di includere - LIS,Giancarla Calitri
,,,,,,,,,,,2022-04-09_hungerprojekt_svizzera_-,2022-04-09_hungerprojekt_svizzera_-,,Hungerprojekt Svizzera - LIS,Giancarla Calitri
2023-01-26_ägypten_–_unterstützung,2023-01-26_ägypten_–_unterstützung,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/aegypten---unterstuetzung-von-kindern-mit-handicap?urn=urn:srf:video:98a72fd6-8b72-47bf-a4e9-443fa26ea05c,Ägypten – Unterstützung von Kindern mit Handicap,2023-08-11_handicap_international_-,2023-08-11_handicap_international_-,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/handicap-international-des-soins-adaptes-pour-lavenir-de-murad?urn=urn:rts:video:14233429,2022_03_06_2211_Handicap_international,HANDICAP INTERNATIONAL - Des soins adaptés pour l’avenir de Murad,2022-04-16_handicap_international_-,2022-04-16_handicap_international_-,,Handicap International - Cairo - LIS,Giancarla Calitri
,,,,,2022-05-06_les_dons_versés,2022-05-06_les_dons_versés,Adrien Pelletier,,2021_11_01_2155_Chaine_du_bonheur_Femmes_a_bord.mov,Les dons versés à La Chaîne du bonheur soutiennent l’association Femmes à Bord,,2022-04-18_catena_della_solidarietà,,Catena della solidarietà - Donne a bordo - LIS,Giancarla Calitri
,,,,,,,,,,,"'2022-04-30_gruppo_genitori_""insieme'","'2022-04-30_gruppo_genitori_""insieme'",,"Gruppo genitori ""Insieme con Coraggio"" - LIS",Angela Lunelio
,,,,,2021-05-23_2126_narcisse_riviera,,Adrien Pelletier,,2021-05-23_2126_narcisse_riviera.mxf,ENSEMBLE2126 - Narcisse Riviera avec LSF-2021-05-23,2022-05-14_narcisses_riviera_-,2022-05-14_narcisses_riviera_-,,Narcisses Riviera - LIS,Angela Lunelio
,,,,,,,,,,,2022-05-28_società_ticinese_per,2022-05-28_società_ticinese_per,,Società ticinese per l’Arte e la Natura - STAN - LIS,Angela Lunelio
2022-11-10_nach_einem_hirnschlag,2022-11-10_nach_einem_hirnschlag,Rolf Perrollaz,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/nach-einem-hirnschlag---der-weg-zurueck-ins-leben?urn=urn:srf:video:aa424014-8439-4bc6-8780-f0f2eba734c3,Nach einem Hirnschlag – Der Weg zurück ins Leben,2022-02-20_2209_fragile,,Adrien Pelletier,,2022-02-20_2209_fragile.mxf,ENSEMBLE2209 - Fragile avec LSF-2022-02-20,2022-06-11_fragile_-_lis,2022-06-11_fragile_-_lis,,Fragile - LIS,Giancarla Calitri
,,,,,,,,,,,2022-06-25_atidu_-_associazione,2022-06-25_atidu_-_associazione,,ATIDU - Associazione per persone con problemi d'udito - LIS,Giancarla Calitri
2023-05-25_einsatz_für_mantas,2023-05-25_einsatz_für_mantas,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/einsatz-fuer-mantas-und-haie?urn=urn:srf:video:505be642-81be-4162-b950-61b8f9167cc5,Einsatz für Mantas und Haie,2022-06-05_2225_save_our_seas,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/save-our-seas-mieux-proteger-requins-et-raies?urn=urn:rts:video:14528430,2022-06-05_2225_save_our_seas.mxf,SAVE OUR SEAS - Mieux protéger requins et raies,2022-07-16_save_our_seas,2022-07-16_save_our_seas,,Save our Seas - LIS,Angela Lunelio
,,,,,2023-08-11_ridere_per_vivere,2023-08-11_ridere_per_vivere,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/ridere-per-vivere-des-clowns--pour-rire-pour-vivre?urn=urn:rts:video:14233642,2022_08_28_2239_Ridere_per_vivere,"RIDERE PER VIVERE - Des clowns pour rire, pour vivre",2022-07-23_ridere_per_vivere,2022-07-23_ridere_per_vivere,,Ridere per Vivere Ticino - LIS,Angela Lunelio
,,,,,2023-01-29_2306_boscoticino,2023-01-29_2306_boscoticino,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/bosco-ticino-au-coeur-des-forets-tessinoises?urn=urn:rts:video:14528968,2023-01-29_2306_boscoticino.mxf,BOSCO TICINO - Au cœur des forêts tessinoises,2022-08-20_boscoticino_-_associazione,2022-08-20_boscoticino_-_associazione,,BoscoTicino - Associazione dei proprietari di bosco - LIS,Angela Lunelio
,,,,,,,,,,,2022-09-03_chance_for_children,2022-09-03_chance_for_children,,Chance for children - Per i bambini in Ghana - LIS,Luca Marra
2023-02-16_ein_hund_fürs,2023-02-16_ein_hund_fürs,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/ein-hund-fuers-leben?urn=urn:srf:video:de5a9ff3-905e-4388-a50d-10551f18a26d,Ein Hund fürs Leben,2023-01-08_2304_forza_rescue_dog,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/forza-rescue-dog-adopter-un-chien-errant?urn=urn:rts:video:14528936,2023-01-08_2304_forza_rescue_dog.mxf,FORZA RESCUE DOG - Adopter un chien errant,2022-09-10_forza_rescue_dog,2022-09-10_forza_rescue_dog,,Forza Rescue Dog - Adottare un cane - LIS,Luca Marra
,,,,,2021-12-26_2161_particimedia,,Adrien Pelletier,,2021-12-26_2161_particimedia.mxf,ENSEMBLE2161 - PatriciMedia avec LSF-2021-12-26,2022-09-17_particimedia_-_la,2022-09-17_particimedia_-_la,,Particimedia - La radio per scoprire la cultura - LIS,Luca Marra
,,,,,,,,,,,2022-10-01_associazione_impronte_-,2022-10-01_associazione_impronte_-,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-impronte-ippoterapia-lis?urn=urn:rsi:video:15558460,Associazione Impronte - Ippoterapia - LIS,Luca Marra
2022-06-02_belize_–_einsatz,2022-06-02_belize_–_einsatz,Rolf Perrollaz,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/belize---einsatz-fuer-den-schutz-von-tropenwald?urn=urn:srf:video:447471d8-f318-4a2a-8730-701ff9ee8529,Belize – Einsatz für den Schutz von Tropenwald,2023-01-05_2302_papiliorama,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/papiliorama-au-belize-une-foret-sous-protection?urn=urn:rts:video:14528561,2023-01-05_2302_papiliorama.mxf,PAPILIORAMA - Au Bélize Une forêt sous protection,2022-10-15_fondazione_papiliorama_-,2022-10-15_fondazione_papiliorama_-,,Fondazione Papiliorama - Protezione della natura - LIS,Angela Lunelio
,,,,,,,,,,,2022-10-22_associazione_progotan_-,2022-10-22_associazione_progotan_-,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-progotan-vivere-con-il-parkinson-lis?urn=urn:rsi:video:15685468,Associazione Progotan - Vivere con il Parkinson - LIS,Angela Lunelio
,,,,,2023-01-01_2301_casa_astra,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/casa-astra-les-vendanges-dune-nouvelle-vie?urn=urn:rts:video:14528570,2023-01-01_2301_casa_astra.mxf,CASA ASTRA - Les vendanges d’une nouvelle vie,,2022-11-01_catena_della_solidarietà,https://www.rsi.ch/play/tv/insieme-lis/video/catena-della-solidarieta-casa-astra-lis?urn=urn:rsi:video:15685474,Catena della solidarietà - Casa Astra - LIS,Angela Lunelio
,,,,,2022-04-10_2216_via,2022-04-10_2216_via,Marie Castella,https://www.rts.ch/play/tv/ensemble-signe/video/via-des-outils-numeriques-contre-le-harcelement-scolaire?urn=urn:rts:video:14528301,2022-04-10_2216_via.mxf,VIA - Des outils (numériques) contre le harcèlement scolaire,"2022-11-05_associazione_via,_contro","2022-11-05_associazione_via,_contro",https://www.rsi.ch/play/tv/insieme-lis/video/associazione-via-contro-il-bullismo-a-scuola-lis?urn=urn:rsi:video:15757885,"Associazione Via, contro il bullismo a scuola - LIS",Luca Marra
2023-03-23_lebensfreude_trotz_chronischer,2023-03-23_lebensfreude_trotz_chronischer,Jenny Kaiser,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/lebensfreude-trotz-chronischer-schmerzen?urn=urn:srf:video:b517927a-39b6-421e-9501-2c213b277228,Lebensfreude trotz chronischer Schmerzen,,,,,,,2022-11-26_associazione_malattie_genetiche,2022-11-26_associazione_malattie_genetiche,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-malattie-genetiche-rare-svizzera-italiana-lis?urn=urn:rsi:video:15757915,Associazione Malattie Genetiche Rare Svizzera Italiana - LIS,Luca Marra
,,,,,2022-07-10_2226_reper,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/reper-moins-decrans-pour-les-petits-enfants?urn=urn:rts:video:14528406,2022-07-10_2226_reper.mxf,REPER - Moins d’écrans pour les petits enfants,,"2022-12-03_associazione_reper,_promozione",https://www.rsi.ch/play/tv/insieme-lis/video/associazione-reper-promozione-salute-dei-giovani-lis?urn=urn:rsi:video:15757900,"Associazione REPER, promozione salute dei giovani - LIS",Luca Marra
2022-09-29_engagement_für_tiere,2022-09-29_engagement_für_tiere,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/engagement-fuer-tiere-beduerftiger-menschen?urn=urn:srf:video:ffbfdd08-bebe-4156-a754-51025c7c5acf,Engagement für Tiere bedürftiger Menschen,2023-02-26_2303_susy_utzinger,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/susy-utzinger-soigner-ses-animaux-malgre-la-precarite?urn=urn:rts:video:14528589,2023-02-26_2303_susy_utzinger.mxf,SUSY UTZINGER - Soigner ses animaux malgré la précarité,"2022-12-10_fondazione_susy_utzinger,","2022-12-10_fondazione_susy_utzinger,",https://www.rsi.ch/play/tv/insieme-lis/video/fondazione-susy-utzinger-protezione-degli-animali-lis?urn=urn:rsi:video:15757933,"Fondazione Susy Utzinger, protezione degli animali - LIS",Luca Marra
,,,,,2022-02-09_la_nouvelle_association,2022-02-09_la_nouvelle_association,Adrien Pelletier,,2021_01_10_Perceptio_Cibus,La nouvelle association Perceptio Cibus accompagne les personnes en surpoids,,,,,
2022-12-15_ausstieg_aus_der,2022-12-15_ausstieg_aus_der,Barbara Rossier,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/ausstieg-aus-der-prostitution?urn=urn:srf:video:a7b21221-77a3-44f5-a909-7ae7a47eefbc,Ausstieg aus der Prostitution,,,,,,,,,,,
2022-12-22_libanon_–_eine,2022-12-22_libanon_–_eine,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/libanon---eine-schule-fuer-fluechtlingskinder?urn=urn:srf:video:e8fb7093-ab1a-4bbb-ac85-7d9308b38692,Libanon – Eine Schule für Flüchtlingskinder,2023-01-22_2305_swissforlebanon,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/swiss4lebanon-jeunes-syriens-a-lecole-au-liban?urn=urn:rts:video:14528976,2023-01-22_2305_swissforlebanon.mxf,SWISS4LEBANON - Jeunes Syriens à l’école au Liban,"2023-01-14_swiss4lebanon,_scuola_per","2023-01-14_swiss4lebanon,_scuola_per",https://www.rsi.ch/play/tv/insieme-lis/video/swiss4lebanon-scuola-per-profughi-lis?urn=urn:rsi:video:15885808,"Swiss4Lebanon, scuola per profughi - LIS",Giancarla Calitri
2022-12-29_indonesien_–_schulbildung,2022-12-29_indonesien_–_schulbildung,Rolf Perrollaz,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/indonesien---schulbildung-dank-mikrokredit?urn=urn:srf:video:04bbd52e-d734-4401-9f36-dc4d70fef54f,Indonesien – Schulbildung dank Mikrokredit,,,,,,,,,,,
,,,,,2023-05-07_2317_association_alessia,2023-05-07_2317_association_alessia,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/alessia-au-plus-pres-des-enfants-malades?urn=urn:rts:video:14748368,2023-05-07_2317_association_alessia.mxf,ALESSIA - Au plus près des enfants malades,"2022-12-24_fondazione_alessia,_cure","2022-12-24_fondazione_alessia,_cure",https://www.rsi.ch/play/tv/insieme-lis/video/fondazione-alessia-cure-pediatriche-lis?urn=urn:rsi:video:15885769,"Fondazione Alessia, cure pediatriche - LIS",Giancarla Calitri
2023-06-22_neue_gipfel_des,2023-06-22_neue_gipfel_des,Sascha Thiemeyer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/neue-gipfel-des-lebens-erklimmen?urn=urn:srf:video:79d1a691-56d6-4f29-8b6f-68b3f28ed05c,Neue Gipfel des Lebens erklimmen,,,,,,,,2023-01-01_associazione_l'ora_-,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-lora-lis?urn=urn:rsi:video:15885796,Associazione L'ORA - LIS,Giancarla Calitri
2023-01-05_ein_rettungsdienst_für,2023-01-05_ein_rettungsdienst_für,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/ein-rettungsdienst-fuer-tiere?urn=urn:srf:video:268c9758-33ba-49cb-8501-fbaf6ecdf7da,Ein Rettungsdienst für Tiere,2023-03-19_2315_tierrettungsdienst,2023-03-19_2315_tierrettungsdienst,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/tierrettungsdienst-au-secours-des-animaux?urn=urn:rts:video:14768236,2023-03-19_2315_tierrettungsdienst.mxf,TIERRETTUNGSDIENST - Au secours des animaux,,,,,
2023-02-02_glückskette_sammeltag:_blick,2023-02-02_glückskette_sammeltag:_blick,Barbara Rossier,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/glueckskette-sammeltag-blick-hinter-die-kulissen?urn=urn:srf:video:04a456dc-217b-4b40-b743-8f6f632ce8ca,Glückskette Sammeltag: Blick hinter die Kulissen,,,,,,,,,,,
2023-02-09_unterstützung_für_patientinnen,2023-02-09_unterstützung_für_patientinnen,Barbara Rossier,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/unterstuetzung-fuer-patientinnen-und-patienten-mit-long-covid?urn=urn:srf:video:340ab785-0f13-4a1f-b99d-a4b9044c3511,Unterstützung für Patientinnen und Patienten mit Long Covid,2022-07-03_2230_altea,2022-07-03_2230_altea,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/altea-en-reseau-contre-le-long-covid?urn=urn:rts:video:14528398,2022-07-03_2230_altea.mxf,ALTEA - En réseau contre le long COVID,,,,,
"2023-02-23_neue_wohnformen,_um","2023-02-23_neue_wohnformen,_um",Barbara Rossier,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/neue-wohnformen-um-die-erde-zu-schonen?urn=urn:srf:video:a2d800ce-508a-467c-bacb-5aad9501b777,"Neue Wohnformen, um die Erde zu schonen",2022-10-16_2243_halege,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/halege-lhabitat-leger-vivre-avec-moins?urn=urn:rts:video:14528458,2022-10-16_2243_halege.mxf,HALEGE - L’habitat léger Vivre avec moins,2023-02-25_halege_-_abitare,2023-02-25_halege_-_abitare,https://www.rsi.ch/play/tv/insieme-lis/video/halege-abitare-leggero-lis?urn=urn:rsi:video:15966061,HaLege - Abitare leggero - LIS,Paola Massa
,,,,,,,,,,,2023-01-21_associazione_svizzera_dei,2023-01-21_associazione_svizzera_dei,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-svizzera-dei-paraplegici-asp?urn=urn:rsi:video:15885814,Associazione svizzera dei paraplegici ASP,Giancarla Calitri
,,,,,,,Azra Beslagic,,only green screen on Mediahub,Proxicompost,2023-01-28_proxicompost_-_compostaggio,2023-01-28_proxicompost_-_compostaggio,https://www.rsi.ch/play/tv/insieme-lis/video/proxicompost-compostaggio-di-prossimita-lis?urn=urn:rsi:video:15965992,Proxicompost - Compostaggio di prossimità - LIS,Paola Massa
2023-01-19_gemeinsam_statt_einsam,2023-01-19_gemeinsam_statt_einsam,Rolf Perrollaz,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/gemeinsam-statt-einsam-im-alter?urn=urn:srf:video:c9eb8b5d-0ea1-4b98-b6e0-23388065806a,Gemeinsam statt einsam im Alter,,,,,,,2023-02-04_croce_rossa_svizzera,2023-02-04_croce_rossa_svizzera,https://www.rsi.ch/play/tv/insieme-lis/video/croce-rossa-svizzera-canton-zurigo-lis?urn=urn:rsi:video:15966007,Croce Rossa Svizzera - Canton Zurigo - LIS,Paola Massa
2023-01-12_bali_–_ein,2023-01-12_bali_–_ein,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/bali---ein-dorf-muss-nicht-mehr-betteln?urn=urn:srf:video:b7862c38-949e-46ec-bb9e-acfa4e61393f,Bali – Ein Dorf muss nicht mehr betteln,2023-04-09_2316_zukunft_fur_kinder,2024-03-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/zukunft-fur-kinder-lartisanat-pour-une-vie-meilleure?urn=urn:rts:video:14748317,2023-04-09_2316_zukunft_fur_kinder.mxf,ZUKUNFT FUR KINDER - L’artisanat pour une vie meilleure,2023-02-11_associazione_futuro_per,2023-02-11_associazione_futuro_per,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-futuro-per-bambini-zukunft-fuer-kinder-lis?urn=urn:rsi:video:15966049,Associazione Futuro per Bambini - Zukunft für Kinder - LIS,Paola Massa
,,,,,,,,,,,2023-03-11_fondazione_sos_villaggi,2023-03-11_fondazione_sos_villaggi,https://www.rsi.ch/play/tv/insieme-lis/video/fondazione-sos-villaggi-dei-bambini-svizzera-lis?urn=urn:rsi:video:15966034,Fondazione SOS Villaggi dei Bambini Svizzera - LIS,Paola Massa
,,,,,2023-07-02_2329_pro_mente_sana,,Azra Beslagic,,2023-07-02_2329_pro_mente_sana.mxf,ENSEMBLE2329 - Pro Mente sana - avec LSF -2.7.23,2023-03-18_fondazione_pro_mente,2023-03-18_fondazione_pro_mente,https://www.rsi.ch/play/tv/insieme-lis/video/fondazione-pro-mente-sana-lis?urn=urn:rsi:video:16101325,Fondazione Pro Mente Sana - LIS,Paola Massa
,,,,,2248_alterstartfood,,Azra Beslagic,,2248_alterstartfood.mxf,ENSEMBLE2248 - AlterStartFood,2023-03-25_alter_start_food,2023-03-25_alter_start_food,https://www.rsi.ch/play/tv/insieme-lis/video/alter-start-food-cucina-dal-mondo-lis?urn=urn:rsi:video:16101352,Alter Start Food cucina dal mondo - LIS,Paola Massa
